Node_x Node_y             X                    Y                    Z
  1   1      7.2400575794E+00    -5.4269808751E-01    -5.8711967838E+02
  1   2      7.2400575794E+00     1.4457301912E+01    -5.8711871441E+02
  1   3      7.2400575794E+00     2.9457301912E+01    -5.8711583933E+02
  1   4      7.2400575794E+00     4.4457301912E+01    -5.8711138848E+02
  1   5      7.2400575794E+00     5.9457301912E+01    -5.8710620124E+02
  1   6      7.2400575794E+00     7.4457301912E+01    -5.8710131007E+02
  1   7      7.2400575794E+00     8.9457301912E+01    -5.8709832849E+02
  1   8      7.2400575794E+00     1.0445730191E+02    -5.8711599987E+02
  1   9      7.2400575794E+00     1.1945730191E+02    -5.8711973479E+02
  1  10      7.2400575794E+00     1.3445730191E+02    -5.8712279404E+02
  1  11      7.2400575794E+00     1.4945730191E+02    -5.8712640110E+02
  1  12      7.2400575794E+00     1.6445730191E+02    -5.8712810829E+02
  1  13      7.2400575794E+00     1.7945730191E+02    -5.8712934990E+02
  1  14      7.2400575794E+00     1.9445730191E+02    -5.8712873306E+02
  1  15      7.2400575794E+00     2.0945730191E+02    -5.8712640108E+02
  1  16      7.2400575794E+00     2.2445730191E+02    -5.8710598783E+02
  1  17      7.2400575794E+00     2.3945730191E+02    -5.8710225939E+02
  1  18      7.2400575794E+00     2.5445730191E+02    -5.8711465221E+02
  1  19      7.2400575794E+00     2.6945730191E+02    -5.8711326323E+02
  1  20      7.2400575794E+00     2.8445730191E+02    -5.8711494718E+02
  1  21      7.2400575794E+00     2.9945730191E+02    -5.8711845602E+02
  1  22      7.2400575794E+00     3.1445730191E+02    -5.8712225964E+02
  1  23      7.2400575794E+00     3.2945730191E+02    -5.8712644004E+02
  1  24      7.2400575794E+00     3.4445730191E+02    -5.8712801028E+02
  1  25      7.2400575794E+00     3.5945730191E+02    -5.8712932587E+02
  2   1      2.2240057579E+01    -5.4269808751E-01    -5.8711991745E+02
  2   2      2.2240057579E+01     1.4457301912E+01    -5.8711883703E+02
  2   3      2.2240057579E+01     2.9457301912E+01    -5.8711583323E+02
  2   4      2.2240057579E+01     4.4457301912E+01    -5.8711125047E+02
  2   5      2.2240057579E+01     5.9457301912E+01    -5.8710593819E+02
  2   6      2.2240057579E+01     7.4457301912E+01    -5.8710094061E+02
  2   7      2.2240057579E+01     8.9457301912E+01    -5.8709788058E+02
  2   8      2.2240057579E+01     1.0445730191E+02    -5.8711818371E+02
  2   9      2.2240057579E+01     1.1945730191E+02    -5.8712080172E+02
  2  10      2.2240057579E+01     1.3445730191E+02    -5.8712004467E+02
  2  11      2.2240057579E+01     1.4945730191E+02    -5.8712373585E+02
  2  12      2.2240057579E+01     1.6445730191E+02    -5.8712981293E+02
  2  13      2.2240057579E+01     1.7945730191E+02    -5.8713093072E+02
  2  14      2.2240057579E+01     1.9445730191E+02    -5.8713020953E+02
  2  15      2.2240057579E+01     2.0945730191E+02    -5.8712776076E+02
  2  16      2.2240057579E+01     2.2445730191E+02    -5.8710928534E+02
  2  17      2.2240057579E+01     2.3945730191E+02    -5.8710588287E+02
  2  18      2.2240057579E+01     2.5445730191E+02    -5.8710207137E+02
  2  19      2.2240057579E+01     2.6945730191E+02    -5.8711571425E+02
  2  20      2.2240057579E+01     2.8445730191E+02    -5.8711729800E+02
  2  21      2.2240057579E+01     2.9945730191E+02    -5.8712048823E+02
  2  22      2.2240057579E+01     3.1445730191E+02    -5.8711944028E+02
  2  23      2.2240057579E+01     3.2945730191E+02    -5.8712376814E+02
  2  24      2.2240057579E+01     3.4445730191E+02    -5.8712973328E+02
  2  25      2.2240057579E+01     3.5945730191E+02    -5.8713091681E+02
  3   1      3.7240057579E+01    -5.4269808751E-01    -5.8711909693E+02
  3   2      3.7240057579E+01     1.4457301912E+01    -5.8711791283E+02
  3   3      3.7240057579E+01     2.9457301912E+01    -5.8711478036E+02
  3   4      3.7240057579E+01     4.4457301912E+01    -5.8711004518E+02
  3   5      3.7240057579E+01     5.9457301912E+01    -5.8710456573E+02
  3   6      3.7240057579E+01     7.4457301912E+01    -5.8709941245E+02
  3   7      3.7240057579E+01     8.9457301912E+01    -5.8709622362E+02
  3   8      3.7240057579E+01     1.0445730191E+02    -5.8711831854E+02
  3   9      3.7240057579E+01     1.1945730191E+02    -5.8712069574E+02
  3  10      3.7240057579E+01     1.3445730191E+02    -5.8711599150E+02
  3  11      3.7240057579E+01     1.4945730191E+02    -5.8711998053E+02
  3  12      3.7240057579E+01     1.6445730191E+02    -5.8713010360E+02
  3  13      3.7240057579E+01     1.7945730191E+02    -5.8713111354E+02
  3  14      3.7240057579E+01     1.9445730191E+02    -5.8713025094E+02
  3  15      3.7240057579E+01     2.0945730191E+02    -5.8712760643E+02
  3  16      3.7240057579E+01     2.2445730191E+02    -5.8710970791E+02
  3  17      3.7240057579E+01     2.3945730191E+02    -5.8710647870E+02
  3  18      3.7240057579E+01     2.5445730191E+02    -5.8710285354E+02
  3  19      3.7240057579E+01     2.6945730191E+02    -5.8711513054E+02
  3  20      3.7240057579E+01     2.8445730191E+02    -5.8711758930E+02
  3  21      3.7240057579E+01     2.9945730191E+02    -5.8712048606E+02
  3  22      3.7240057579E+01     3.1445730191E+02    -5.8711523396E+02
  3  23      3.7240057579E+01     3.2945730191E+02    -5.8711997251E+02
  3  24      3.7240057579E+01     3.4445730191E+02    -5.8713004198E+02
  3  25      3.7240057579E+01     3.5945730191E+02    -5.8713110832E+02
  4   1      5.2240057579E+01    -5.4269808751E-01    -5.8711730740E+02
  4   2      5.2240057579E+01     1.4457301912E+01    -5.8711606075E+02
  4   3      5.2240057579E+01     2.9457301912E+01    -5.8711282781E+02
  4   4      5.2240057579E+01     4.4457301912E+01    -5.8710792939E+02
  4   5      5.2240057579E+01     5.9457301912E+01    -5.8710221683E+02
  4   6      5.2240057579E+01     7.4457301912E+01    -5.8709680637E+02
  4   7      5.2240057579E+01     8.9457301912E+01    -5.8709339390E+02
  4   8      5.2240057579E+01     1.0445730191E+02    -5.8711650656E+02
  4   9      5.2240057579E+01     1.1945730191E+02    -5.8711866816E+02
  4  10      5.2240057579E+01     1.3445730191E+02    -5.8711317876E+02
  4  11      5.2240057579E+01     1.4945730191E+02    -5.8711799501E+02
  4  12      5.2240057579E+01     1.6445730191E+02    -5.8712880953E+02
  4  13      5.2240057579E+01     1.7945730191E+02    -5.8712973334E+02
  4  14      5.2240057579E+01     1.9445730191E+02    -5.8712868881E+02
  4  15      5.2240057579E+01     2.0945730191E+02    -5.8712577247E+02
  4  16      5.2240057579E+01     2.2445730191E+02    -5.8710721196E+02
  4  17      5.2240057579E+01     2.3945730191E+02    -5.8710397996E+02
  4  18      5.2240057579E+01     2.5445730191E+02    -5.8710031186E+02
  4  19      5.2240057579E+01     2.6945730191E+02    -5.8711439014E+02
  4  20      5.2240057579E+01     2.8445730191E+02    -5.8711595293E+02
  4  21      5.2240057579E+01     2.9945730191E+02    -5.8711853955E+02
  4  22      5.2240057579E+01     3.1445730191E+02    -5.8711220824E+02
  4  23      5.2240057579E+01     3.2945730191E+02    -5.8711761731E+02
  4  24      5.2240057579E+01     3.4445730191E+02    -5.8712876340E+02
  4  25      5.2240057579E+01     3.5945730191E+02    -5.8712973359E+02
  5   1      6.7240057579E+01    -5.4269808751E-01    -5.8711577218E+02
  5   2      6.7240057579E+01     1.4457301912E+01    -5.8711455101E+02
  5   3      6.7240057579E+01     2.9457301912E+01    -5.8711127087E+02
  5   4      6.7240057579E+01     4.4457301912E+01    -5.8710619432E+02
  5   5      6.7240057579E+01     5.9457301912E+01    -5.8710014425E+02
  5   6      6.7240057579E+01     7.4457301912E+01    -5.8709432463E+02
  5   7      6.7240057579E+01     8.9457301912E+01    -5.8709055506E+02
  5   8      6.7240057579E+01     1.0445730191E+02    -5.8711365215E+02
  5   9      6.7240057579E+01     1.1945730191E+02    -5.8711602436E+02
  5  10      6.7240057579E+01     1.3445730191E+02    -5.8711656252E+02
  5  11      6.7240057579E+01     1.4945730191E+02    -5.8712110448E+02
  5  12      6.7240057579E+01     1.6445730191E+02    -5.8712690287E+02
  5  13      6.7240057579E+01     1.7945730191E+02    -5.8712779513E+02
  5  14      6.7240057579E+01     1.9445730191E+02    -5.8710729111E+02
  5  15      6.7240057579E+01     2.0945730191E+02    -5.8712336504E+02
  5  16      6.7240057579E+01     2.2445730191E+02    -5.8710426604E+02
  5  17      6.7240057579E+01     2.3945730191E+02    -5.8710001002E+02
  5  18      6.7240057579E+01     2.5445730191E+02    -5.8709647282E+02
  5  19      6.7240057579E+01     2.6945730191E+02    -5.8711227406E+02
  5  20      6.7240057579E+01     2.8445730191E+02    -5.8711324629E+02
  5  21      6.7240057579E+01     2.9945730191E+02    -5.8711565735E+02
  5  22      6.7240057579E+01     3.1445730191E+02    -5.8711572320E+02
  5  23      6.7240057579E+01     3.2945730191E+02    -5.8712071006E+02
  5  24      6.7240057579E+01     3.4445730191E+02    -5.8712686269E+02
  5  25      6.7240057579E+01     3.5945730191E+02    -5.8712779627E+02
  6   1      8.2240057579E+01    -5.4269808751E-01    -5.8711541830E+02
  6   2      8.2240057579E+01     1.4457301912E+01    -5.8710259163E+02
  6   3      8.2240057579E+01     2.9457301912E+01    -5.8711100786E+02
  6   4      8.2240057579E+01     4.4457301912E+01    -5.8710583582E+02
  6   5      8.2240057579E+01     5.9457301912E+01    -5.8709955184E+02
  6   6      8.2240057579E+01     7.4457301912E+01    -5.8709341339E+02
  6   7      8.2240057579E+01     8.9457301912E+01    -5.8708933755E+02
  6   8      8.2240057579E+01     1.0445730191E+02    -5.8711141604E+02
  6   9      8.2240057579E+01     1.1945730191E+02    -5.8711422200E+02
  6  10      8.2240057579E+01     1.3445730191E+02    -5.8711907291E+02
  6  11      8.2240057579E+01     1.4945730191E+02    -5.8712346889E+02
  6  12      8.2240057579E+01     1.6445730191E+02    -5.8712102869E+02
  6  13      8.2240057579E+01     1.7945730191E+02    -5.8712746706E+02
  6  14      8.2240057579E+01     1.9445730191E+02    -5.8710929249E+02
